airline,departure_time,arrival_time,duration,stops,price,price_text,departure_date,return_date,origin,destination
ZIPAIR Tokyo,11:10 PM,7:30 AM+1,6 hr 20 min,Nonstop,11531.0,"THB 11,531",2026-05-15,2026-05-22,BKK,NRT
ANA,7:00 AM,3:20 PM,6 hr 20 min,Nonstop,16130.0,"THB 16,130",2026-05-15,2026-05-22,BKK,NRT
THAI,7:35 AM,3:45 PM,6 hr 10 min,Nonstop,16341.0,"THB 16,341",2026-05-15,2026-05-22,BKK,NRT
JAL,8:05 AM,4:15 PM,6 hr 10 min,Nonstop,18100.0,"THB 18,100",2026-05-15,2026-05-22,BKK,NRT
Vietnam Airlines,7:05 PM,7:35 AM+1,10 hr 30 min,1 stop,10256.0,"THB 10,256",2026-05-15,2026-05-22,BKK,NRT
Air China,6:20 PM,3:50 PM+1,19 hr 30 min,1 stop,12700.0,"THB 12,700",2026-05-15,2026-05-22,BKK,NRT
THAI,10:10 PM,6:20 AM+1,6 hr 10 min,Nonstop,16341.0,"THB 16,341",2026-05-15,2026-05-22,BKK,NRT
THAI,11:50 PM,8:10 AM+1,6 hr 20 min,Nonstop,16341.0,"THB 16,341",2026-05-15,2026-05-22,BKK,NRT
Thai Vietjet Air,11:35 PM,7:55 AM+1,6 hr 20 min,Nonstop,29140.0,"THB 29,140",2026-05-15,2026-05-22,BKK,NRT
ZIPAIR Tokyo,11:10 PM,7:30 AM+1,6 hr 20 min,Nonstop,9375.0,"THB 9,375",2026-06-15,2026-06-22,BKK,NRT
THAI,7:35 AM,3:45 PM,6 hr 10 min,Nonstop,15585.0,"THB 15,585",2026-06-15,2026-06-22,BKK,NRT
ANA,7:00 AM,3:20 PM,6 hr 20 min,Nonstop,16130.0,"THB 16,130",2026-06-15,2026-06-22,BKK,NRT
Vietnam Airlines,7:05 PM,7:35 AM+1,10 hr 30 min,1 stop,10313.0,"THB 10,313",2026-06-15,2026-06-22,BKK,NRT
Hong Kong Express,7:45 PM,6:20 AM+1,8 hr 35 min,1 stop,10665.0,"THB 10,665",2026-06-15,2026-06-22,BKK,NRT
China Southern,3:00 AM,1:30 PM,8 hr 30 min,1 stop,13725.0,"THB 13,725",2026-06-15,2026-06-22,BKK,NRT
THAI,10:10 PM,6:20 AM+1,6 hr 10 min,Nonstop,15585.0,"THB 15,585",2026-06-15,2026-06-22,BKK,NRT
THAI,11:50 PM,8:10 AM+1,6 hr 20 min,Nonstop,15585.0,"THB 15,585",2026-06-15,2026-06-22,BKK,NRT
JAL,8:05 AM,4:15 PM,6 hr 10 min,Nonstop,18100.0,"THB 18,100",2026-06-15,2026-06-22,BKK,NRT
Thai Vietjet Air,11:35 PM,7:55 AM+1,6 hr 20 min,Nonstop,28384.0,"THB 28,384",2026-06-15,2026-06-22,BKK,NRT
ZIPAIR Tokyo,11:10 PM,7:30 AM+1,6 hr 20 min,Nonstop,9375.0,"THB 9,375",2026-06-15,2026-06-22,BKK,NRT
THAI,7:35 AM,3:45 PM,6 hr 10 min,Nonstop,15585.0,"THB 15,585",2026-06-15,2026-06-22,BKK,NRT
ANA,7:00 AM,3:20 PM,6 hr 20 min,Nonstop,16130.0,"THB 16,130",2026-06-15,2026-06-22,BKK,NRT
Vietnam Airlines,7:05 PM,7:35 AM+1,10 hr 30 min,1 stop,10313.0,"THB 10,313",2026-06-15,2026-06-22,BKK,NRT
Hong Kong Express,7:45 PM,6:20 AM+1,8 hr 35 min,1 stop,10665.0,"THB 10,665",2026-06-15,2026-06-22,BKK,NRT
China Southern,3:00 AM,1:30 PM,8 hr 30 min,1 stop,13725.0,"THB 13,725",2026-06-15,2026-06-22,BKK,NRT
THAI,10:10 PM,6:20 AM+1,6 hr 10 min,Nonstop,15585.0,"THB 15,585",2026-06-15,2026-06-22,BKK,NRT
THAI,11:50 PM,8:10 AM+1,6 hr 20 min,Nonstop,15585.0,"THB 15,585",2026-06-15,2026-06-22,BKK,NRT
JAL,8:05 AM,4:15 PM,6 hr 10 min,Nonstop,18100.0,"THB 18,100",2026-06-15,2026-06-22,BKK,NRT
Thai Vietjet Air,11:35 PM,7:55 AM+1,6 hr 20 min,Nonstop,28384.0,"THB 28,384",2026-06-15,2026-06-22,BKK,NRT
ZIPAIR Tokyo,11:10 PM,7:30 AM+1,6 hr 20 min,Nonstop,9945.0,"THB 9,945",2026-07-15,2026-07-22,BKK,NRT
ANA,7:00 AM,3:20 PM,6 hr 20 min,Nonstop,16130.0,"THB 16,130",2026-07-15,2026-07-22,BKK,NRT
THAI,7:35 AM,3:45 PM,6 hr 10 min,Nonstop,16341.0,"THB 16,341",2026-07-15,2026-07-22,BKK,NRT
Vietnam Airlines,9:05 PM,8:00 AM+1,8 hr 55 min,1 stop,10409.0,"THB 10,409",2026-07-15,2026-07-22,BKK,NRT
Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by the booking provider.Hong Kong Airlines,1:50 AM,2:55 PM,11 hr 5 min,1 stop,12196.0,"THB 12,196",2026-07-15,2026-07-22,BKK,NRT
Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by the booking provider.China Airlines,2:40 AM,1:15 PM,8 hr 35 min,1 stop,14108.0,"THB 14,108",2026-07-15,2026-07-22,BKK,NRT
THAI,10:10 PM,6:20 AM+1,6 hr 10 min,Nonstop,16341.0,"THB 16,341",2026-07-15,2026-07-22,BKK,NRT
THAI,11:50 PM,8:10 AM+1,6 hr 20 min,Nonstop,16341.0,"THB 16,341",2026-07-15,2026-07-22,BKK,NRT
JAL,8:05 AM,4:15 PM,6 hr 10 min,Nonstop,18100.0,"THB 18,100",2026-07-15,2026-07-22,BKK,NRT
Thai Vietjet Air,11:35 PM,7:55 AM+1,6 hr 20 min,Nonstop,29140.0,"THB 29,140",2026-07-15,2026-07-22,BKK,NRT
ZIPAIR Tokyo,11:10 PM,7:30 AM+1,6 hr 20 min,Nonstop,9945.0,"THB 9,945",2026-07-15,2026-07-22,BKK,NRT
ANA,7:00 AM,3:20 PM,6 hr 20 min,Nonstop,16130.0,"THB 16,130",2026-07-15,2026-07-22,BKK,NRT
THAI,7:35 AM,3:45 PM,6 hr 10 min,Nonstop,16341.0,"THB 16,341",2026-07-15,2026-07-22,BKK,NRT
Vietnam Airlines,9:05 PM,8:00 AM+1,8 hr 55 min,1 stop,10409.0,"THB 10,409",2026-07-15,2026-07-22,BKK,NRT
Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by the booking provider.Hong Kong Airlines,1:50 AM,2:55 PM,11 hr 5 min,1 stop,12196.0,"THB 12,196",2026-07-15,2026-07-22,BKK,NRT
Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by the booking provider.China Airlines,2:40 AM,1:15 PM,8 hr 35 min,1 stop,14108.0,"THB 14,108",2026-07-15,2026-07-22,BKK,NRT
